lank	79.98	194.42
lkne	76.62	159.31
lhip	71.86	128.47
rhip	88.1	127.47
rkne	91.1	157.56
rank	98.16	187.65
lwr	30.03	83.84
lelb	40.8	95.87
lsho	62.86	82.08
rsho	91.98	81.58
relb	111.04	91.61
rwr	126.04	67.54
hbot	77.68	78.07
htop	78.74	55.5
		
lank	20.22	181.77
lkne	32.93	140.14
lhip	44.37	102.47
rhip	62.16	104.33
rkne	75.13	129.45
rank	73.6	168.05
lwr	79.7	107.59
lelb	61.14	83.63
lsho	52.76	60.15
rsho	77.41	59.21
relb	92.67	77.12
rwr	112.75	98.98
hbot	70.8	56.66
htop	81.48	38.98
		
lank	36.31	164.48
lkne	41.11	125.78
lhip	42.98	97.71
rhip	60.86	93.03
rkne	83.94	119.83
rank	79.14	147.9
lwr	48.98	57.31
lelb	42.71	75.6
lsho	27.37	60.5
rsho	47.12	42.64
relb	61.39	35.62
rwr	64.06	23.71
hbot	34.71	53.27
htop	23.1	34.77
		
lank	108.62	175.98
lkne	109.62	144.57
lhip	105.62	107.41
rhip	126.12	103.75
rkne	130.37	141.43
rank	139.12	167.08
lwr	124.87	12.94
lelb	119.12	42.25
lsho	115.12	57.95
rsho	142.37	65.02
relb	144.62	91.97
rwr	148.87	114.48
hbot	129.62	56.9
htop	128.62	32.3
		
lank	149.31	179.36
lkne	154.91	145.18
lhip	159.11	110.21
rhip	145.57	112.06
rkne	152.11	147.83
rank	154.91	184.13
lwr	104.94	57.74
lelb	117.55	71.52
lsho	139.03	63.31
rsho	158.65	67.55
relb	179.19	70.2
rwr	181.99	64.37
hbot	151.64	59.86
htop	150.24	44.23
		
lank	57.37	123.89
lkne	83.23	82.53
lhip	105.67	59.52
rhip	122.82	54.02
rkne	156.33	87.54
rank	190.64	112.38
lwr	37.05	84.2
lelb	55.26	57.52
lsho	70.3	37.01
rsho	91.94	17.5
relb	121.76	23.67
rwr	130.74	37.34
hbot	71.62	31.01
htop	55.52	14.66
		
lank	82.45	168.74
lkne	79.62	141.06
lhip	79.31	110
rhip	97.19	108.8
rkne	101.9	150.45
rank	108.17	177.17
lwr	72.72	109.04
lelb	56.72	82.8
lsho	70.84	62.33
rsho	106.91	64.5
relb	120.09	84.72
rwr	109.11	107.11
hbot	86.52	57.76
htop	85.9	35.37
		
lank	80.75	167.22
lkne	61.85	123.05
lhip	63.26	79.55
rhip	68.06	74
rkne	96.56	90.87
rank	140.86	62.45
lwr	28.27	93.09
lelb	27.7	70.67
lsho	25.17	47.36
rsho	45.2	41.81
relb	68.9	44.92
rwr	74.26	64.9
hbot	23.19	41.15
htop	15.01	27.61
		
lank	28.88	113.06
lkne	48.48	88.67
lhip	73.29	76.64
rhip	95.62	77.43
rkne	114.48	101.5
rank	147.98	115.6
lwr	66.35	58.27
lelb	60.39	37.2
lsho	77.51	31.19
rsho	107.78	31.66
relb	116.22	36.73
rwr	120.93	52.57
hbot	90.66	29.76
htop	93.14	10.12
		
lank	103.56	115.98
lkne	83.3	118.04
lhip	70.21	83.14
rhip	88.45	74.92
rkne	86.26	111.88
rank	92.34	143.61
lwr	43.1	56.26
lelb	35.31	48.05
lsho	47.78	41.7
rsho	73.49	32
relb	89.69	50.66
rwr	68.81	61.3
hbot	56.35	32.56
htop	48.09	10.72
		
lank	10.21	147.23
lkne	19.79	108.23
lhip	25.24	74.61
rhip	40.83	78.07
